First,Last,IsFemale
George,Washington,false
John,Adams,false
Thomas,Jefferson,false
James,Madison,false
James,Monroe,false
John Quincy,Adams,false
Andrew,Jackson,false
Martin,Van Buren,false
William Henry,Harrison,false
John,Tyler,false
James K,Polk,false
Zachary,Taylor,false
Millard,Fillmore,false
Franklin,Pierce,false
James,Buchanan,false
Abraham,Lincoln,false
Andrew,Johnson,false
Ulysses S,Grant,false
Rutherford B,Hayes,false
James A,Garfield,false
Chester A,Arthur,false
Grover,Cleveland,false
Benjamin,Harrison,false
William,McKinley,false
Theodore,Roosevelt,false
William Howard,Taft,false
Woodrow,Wilson,false
Warren G,Harding,false
Calvin,Coolidge,false
Herbert,Hoover,false
Franklin D,Roosevelt,false
Harry S,Truman,false
Dwight D,Eisenhower,false
John F,Kennedy,false
Lyndon B,Johnson,false
Richard,Nixon,false
Gerald,Ford,false
Jimmy,Carter,false
Ronald,Reagan,false
George H W,Bush,false
Bill,Clinton,false
George W,Bush,false
Barack,Obama,false
